Frank	18621588915	100	20150129
Frank	18621588915	1100	20140129
Frank	18621588915	2101	20130129
Frank	18621588915	4102	20130222
Frank	18621588915	5103	20130522
Frank	18621588915	104	20140529
Frank	18621588915	105	20140701
Frank	18621588915	7106	20141019
Frank	18621588915	107	20130522
Frank	18621588915	9108	20121229
Frank	18621588915	109	20121109
Frank	18621588915	77110	20110910
Frank	18621588915	1111	20110129
Frank	18621588915	44112	20120129
Frank	18621588915	13	20150201
Glinda	18888888888	278156	20150129
Glinda	18888888888	638673	20140129
Glinda	18888888888	485344	20130129
Glinda	18888888888	509778	20130222
Glinda	18888888888	394146	20130522
Glinda	18888888888	7070	20140529
Glinda	18888888888	958674	20140701
Glinda	18888888888	127323	20141019
Glinda	18888888888	823402	20130522
Glinda	18888888888	81582	20121229
Glinda	18888888888	644945	20121109
Glinda	18888888888	774893	20110910
Glinda	18888888888	344117	20110129
Glinda	18888888888	324407	20120129
Glinda	18888888888	629887	20150201
